genome	tool	thread	real time	time
all	bwa	11	4m46.606s	286.606
all	bwa	13	4m44.195s	284.195
all	bwa	15	4m41.837s	281.837
all	bwa	17	4m33.437s	273.437
all	bwa	19	4m31.902s	271.902
all	bwa	21	4m45.946s	285.946
all	bwa	23	4m29.296s	269.296
all	bwa	25	4m28.359s	268.359
all	bwa	27	4m36.144s	276.144
all	bwa	29	4m27.683s	267.683
am_BaFr_g0050	bowtie	1	8m38.332s	518.332
am_BaFr_g0050	bowtie	3	3m3.472s	183.472
am_BaFr_g0050	bowtie	5	1m54.221s	114.221
am_BaFr_g0050	bowtie	7	1m26.906s	86.906
am_BaFr_g0050	bowtie	9	1m9.352s	69.352
am_BaFr_g0050	bowtie	11	1m7.097s	67.097
am_BaFr_g0050	bowtie	13	0m55.198s	55.198
am_BaFr_g0050	bowtie	15	0m55.545s	55.545
am_BaFr_g0050	bowtie	17	0m55.495s	55.495
am_BaFr_g0050	bowtie	19	0m55.891s	55.891
am_BaFr_g0050	bowtie	21	0m55.836s	55.836
am_BaFr_g0050	bowtie	23	0m51.129s	51.129
am_BaFr_g0050	bowtie	25	0m55.977s	55.977
am_BaFr_g0050	bowtie	27	0m56.456s	56.456
am_BaFr_g0050	bowtie	29	0m56.379s	56.379
am_BaFr_g0050	mapper	1	3m6.147s	186.147
am_BaFr_g0050	mapper	3	1m5.988s	65.988
am_BaFr_g0050	mapper	5	0m48.004s	48.004
am_BaFr_g0050	mapper	7	0m38.535s	38.535
am_BaFr_g0050	mapper	9	0m35.876s	35.876
am_BaFr_g0050	mapper	11	0m32.471s	32.471
am_BaFr_g0050	mapper	13	0m31.221s	31.221
am_BaFr_g0050	mapper	15	0m29.145s	29.145
am_BaFr_g0050	mapper	17	0m28.142s	28.142
am_BaFr_g0050	mapper	19	0m20.295s	20.295
am_BaFr_g0050	mapper	21	0m25.713s	25.713
am_BaFr_g0050	mapper	23	0m21.074s	21.074
am_BaFr_g0050	mapper	25	0m24.942s	24.942
am_BaFr_g0050	mapper	27	0m19.822s	19.822
am_BaFr_g0050	mapper	29	0m24.318s	24.318
am0230	bowtie	1	10m39.415s	639.415
am0230	bowtie	3	4m42.467s	282.467
am0230	bowtie	5	3m23.160s	203.16
am0230	bowtie	7	2m52.327s	172.327
am0230	bowtie	9	2m39.409s	159.409
am0230	bowtie	11	2m25.758s	145.758
am0230	bowtie	13	2m22.412s	142.412
am0230	bowtie	15	2m18.610s	138.61
am0230	bowtie	17	2m19.600s	139.6
am0230	bowtie	19	2m15.240s	135.24
am0230	bowtie	21	2m16.418s	136.418
am0230	bowtie	23	2m19.664s	139.664
am0230	bowtie	25	2m20.222s	140.222
am0230	bowtie	27	2m13.051s	133.051
am0230	bowtie	29	2m14.317s	134.317
